,company_size,joined,location,market,pitch,raised,signal,stage,title,website
399,1-10,2016-06-01 00:00:00,Medellín,Crowdsourcing,"
Quora for business challenges
",$15000,2,Seed,OpenDistillery,opendistillery.co
400,1-10,2013-06-01 00:00:00,Budapest,Social Travel,"
Making Europe's wilderness sexy again!
",$15000,2,Seed,Travel2Wild,travel2wild.com
401,1-10,2013-11-01 00:00:00,New York City,Application Platforms,"
Style Social Network
",$10000,2,Seed,FLYCATCHA,flycatcha.com
402,1-10,2014-01-01 00:00:00,Grenoble,Photo Sharing,"
Send a real postcard from your smartphone
",$15000,2,Seed,OOPOST,oopost.com
403,1-10,2014-05-01 00:00:00,Mumbai,English Speaking World,"
Free social encyclopedia for world
",$13876,2,Seed,Alchetron.com,alchetron.com
404,,2014-07-01 00:00:00,Colorado Springs,Social Media Platforms,"
Better social media interaction
",$10000,2,Seed,Nexus Labs LLC - pi.co.ro,pi.co.ro
405,,2014-10-01 00:00:00,Hermosillo,Startups,"
We link entrepreneurs with designers to find the right logo for startups
",$11500,2,Seed,Logovers,logoveres.com
406,1-10,2014-10-01 00:00:00,Moscow,Wind,"
Green Technology Development and Distribution
",$15000,2,Seed,Human Energy Alliance Laboratories,healenergytech.com
407,1-10,2015-03-01 00:00:00,New England,Video Streaming,"
Media sharing app with a twist (Snapchat/YouTube/Facebook)
",$15000,2,Seed,koodoit.com,koodoit.com
408,,2015-03-01 00:00:00,Milan,E-Commerce Platforms,"
Pre-order your meal at restaurants
",€10000,2,Seed,Praesto,praestoapp.com
409,5000+,2015-03-01 00:00:00,Salerno,Mobile Commerce,"
The business world - Il mondo degli affari
",$10000,2,Seed,Affareinweb.it,affareinweb.it
410,1-10,2015-08-01 00:00:00,Brisbane,Crowdsourcing,"
Crowdsourced Shopping Marketplace
",$15000,2,Seed,Seeker Central,seekercentral.com
411,-,2015-08-01 00:00:00,Maldives,Travel & Tourism,"
Travel redefined with exclusive access to over 115+ Hotels & Resorts in Maldives.
",$10000,2,Seed,iTravelMaldives.com,itravelmaldives.com
